2026-08-05 14:44:57 | INFO  | [] | [] | user= | M.R.RoomBookingApplicationKt : Starting RoomBookingApplicationKt using Java 21.0.11 with PID 54828 (/home/avaz/Downloads/RoomBooking/build/classes/kotlin/main started by avaz in /home/avaz/Downloads/RoomBooking)
2026-08-05 14:44:57 | INFO  | [] | [] | user= | M.R.RoomBookingApplicationKt : The following 1 profile is active: "prod"
2026-08-05 14:44:58 | INFO  | [] | [] | user= | o.a.c.h.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-8080"]
2026-08-05 14:44:58 | INFO  | [] | [] | user= | c.z.h.HikariDataSource : HikariPool-1 - Starting...
2026-08-05 14:44:58 | INFO  | [] | [] | user= | c.z.h.p.HikariPool : HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@17a7d6c8
2026-08-05 14:44:58 | INFO  | [] | [] | user= | c.z.h.HikariDataSource : HikariPool-1 - Start completed.
2026-08-05 14:44:58 | INFO  | [] | [] | user= | o.f.c.FlywayExecutor : Database: jdbc:mysql://localhost:3306/booking_jwt?useSSL=false&serverTimezone=UTC&allowPublicKeyRetrieval=true (MySQL 8.0)
2026-08-05 14:44:58 | INFO  | [] | [] | user= | o.f.c.i.s.JdbcTableSchemaHistory : Schema history table `booking_jwt`.`flyway_schema_history` does not exist yet
2026-08-05 14:44:58 | INFO  | [] | [] | user= | o.f.c.i.c.DbValidate : Successfully validated 1 migration (execution time 00:00.011s)
2026-08-05 14:44:58 | INFO  | [] | [] | user= | o.f.core.Flyway : All configured schemas are empty; a baseline marker will not be added to Flyway's schema history table. A baseline or migration script with a lower version than the baseline version may execute if available. Check the Schemas parameter if this is not intended. See https://help.red-gate.com/help/flyway-cli12/help_4.aspx?topic=baseline-on-migrate for more info
2026-08-05 14:44:58 | INFO  | [] | [] | user= | o.f.c.i.s.JdbcTableSchemaHistory : Creating Schema History table `booking_jwt`.`flyway_schema_history` ...
2026-08-05 14:44:58 | INFO  | [] | [] | user= | o.f.c.i.c.DbMigrate : Current version of schema `booking_jwt`: << Empty Schema >>
2026-08-05 14:44:58 | INFO  | [] | [] | user= | o.f.c.i.c.DbMigrate : Migrating schema `booking_jwt` to version "1 - init db"
2026-08-05 14:44:58 | INFO  | [] | [] | user= | o.f.c.i.c.DbMigrate : Successfully applied 1 migration to schema `booking_jwt`, now at version v1 (execution time 00:00.154s)
2026-08-05 14:45:00 | WARN  | [] | [] | user= | o.s.b.j.a.JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-08-05 14:45:00 | WARN  | [] | [] | user= | o.s.b.s.a.UserDetailsServiceAutoConfiguration : 

Using generated security password: f194ad9b-ea85-4730-b4bc-8999d8366db7

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2026-08-05 14:45:00 | INFO  | [] | [] | user= | o.a.c.h.Http11NioProtocol : Starting ProtocolHandler ["http-nio-8080"]
2026-08-05 14:45:00 | INFO  | [] | [] | user= | M.R.RoomBookingApplicationKt : Started RoomBookingApplicationKt in 4.125 seconds (process running for 4.357)
2026-08-05 14:45:13 | INFO  | [771ece55] | [POST /api/auth/register] | user=ANONYMOUS | M.R.S.AuthService : Attempting to register user with email=avaz.qurbanov2006@gmail.com
2026-08-05 14:45:13 | INFO  | [771ece55] | [POST /api/auth/register] | user=ANONYMOUS | M.R.S.AuthService : User registered successfully with id=1, email=avaz.qurbanov2006@gmail.com
2026-08-05 14:45:17 | INFO  | [41cbea93] | [POST /api/auth/login] | user=ANONYMOUS | M.R.S.AuthService : Attempting login for email=avaz.qurbanov2006@gmail.com
2026-08-05 14:45:17 | INFO  | [41cbea93] | [POST /api/auth/login] | user=ANONYMOUS | M.R.S.RefreshTokenService : Attempting to create or update refresh token for userId=1
2026-08-05 14:45:17 | INFO  | [41cbea93] | [POST /api/auth/login] | user=ANONYMOUS | M.R.S.RefreshTokenService : Refresh token successfully created/updated for userId=1
2026-08-05 14:45:17 | INFO  | [41cbea93] | [POST /api/auth/login] | user=ANONYMOUS | M.R.S.AuthService : User logged in successfully with id=1, email=avaz.qurbanov2006@gmail.com
2026-08-05 14:45:31 | INFO  | [b4ce8284] | [POST /api/rooms] | user=1 | M.R.S.RoomService : Attempting to create a room. name=MegaBig Room, capacity=30
2026-08-05 14:45:31 | INFO  | [b4ce8284] | [POST /api/rooms] | user=1 | M.R.S.RoomService : Room created successfully with id=1
2026-08-05 14:45:42 | INFO  | [f648404c] | [POST /api/booking] | user=1 | M.R.S.BookingService : Attempting to create a booking. userId=1, roomId=1, startTime=2026-07-22T14:00, endTime=2026-07-22T15:30
2026-08-05 14:45:42 | INFO  | [f648404c] | [POST /api/booking] | user=1 | M.R.S.BookingService : Booking created successfully with id=1 for userId=1 in roomId=1
2026-08-05 14:46:45 | INFO  | [] | [] | user= | c.z.h.HikariDataSource : HikariPool-1 - Shutdown initiated...
2026-08-05 14:46:45 | INFO  | [] | [] | user= | c.z.h.HikariDataSource : HikariPool-1 - Shutdown completed.
••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••
